TargetName,TL (m),Lat,Lon,E,N,SonarDateTime,,Pass
ATS100421_32_16,1.6,38.599644,-75.81555695,428982.7,4272665.6,10/4/2021 15:28,,2
ATS100421_33_17,1.7,38.599633,-75.81556609,428981.9,4272664.3,10/4/2021 15:28,,2
ATS100421_35_25,2.5,38.599626,-75.81551275,428986.5,4272663.5,10/4/2021 15:28,,2
ATS100421_34_24,2.4,38.599604,-75.81554719,428983.5,4272661.1,10/4/2021 15:28,,2
ATS100421_36_19,1.9,38.596706,-75.81365427,429145.5,4272338,10/4/2021 15:31,,2
ATS100421_37_16,1.6,38.596674,-75.81361915,429148.5,4272334.4,10/4/2021 15:31,,2
ATS100421_38_15,1.5,38.596651,-75.81359861,429150.3,4272331.9,10/4/2021 15:31,,2
ATS100421_40_15,1.5,38.590282,-75.8042451,429958.6,4271618,10/4/2021 15:38,,2
ATS100421_41_21,2.1,38.564449,-75.77696474,432310.3,4268730.9,10/4/2021 16:08,,2
ATS100421_42_14,1.4,38.563822,-75.77505018,432476.5,4268659.9,10/4/2021 16:09,,2
ATS100421_44_21,2.1,38.535201,-75.76444921,433373.7,4265476.3,10/4/2021 16:49,,2
