"MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TransceiverClass"
"367176210","2024-09-24T00:00:18","38.40105","-75.85003","6.3","340.4","339.0","GRAM ME","","WDD6682","52","0","20","8","3.0","52","A"
"368076430","2024-09-24T00:00:19","38.36174","-75.61351","0.0","17.0","15.0","CAPE MAY","IMO8103028","WDK6628","31","15","61","12","4.3","31","A"
"367176210","2024-09-24T00:01:26","38.40294","-75.85089","6.2","351.3","3.0","GRAM ME","","WDD6682","52","0","20","8","3.0","52","A"
"368076430","2024-09-24T00:02:39","38.36174","-75.61351","0.0","17.0","15.0","CAPE MAY","IMO8103028","WDK6628","31","15","61","12","4.3","31","A"
"368076430","2024-09-24T00:01:28","38.36174","-75.61351","0.0","17.0","15.0","CAPE MAY","IMO8103028","WDK6628","31","15","61","12","4.3","31","A"
"368076430","2024-09-24T00:03:49","38.36174","-75.61352","0.0","17.0","15.0","CAPE MAY","IMO8103028","WDK6628","31","15","61","12","4.3","31","A"
"367176210","2024-09-24T00:02:58","38.40554","-75.85053","6.3","13.1","15.0","GRAM ME","","WDD6682","52","0","20","8","3.0","52","A"
"368076430","2024-09-24T00:04:58","38.36174","-75.61351","0.0","17.0","15.0","CAPE MAY","IMO8103028","WDK6628","31","15","61","12","4.3","31","A"
"368076430","2024-09-24T00:06:08","38.36174","-75.61352","0.0","17.0","15.0","CAPE MAY","IMO8103028","WDK6628","31","15","61","12","4.3","31","A"
"368076430","2024-09-24T00:07:19","38.36174","-75.61351","0.0","17.0","15.0","CAPE MAY","IMO8103028","WDK6628","31","15","61","12","4.3","31","A"
"368178130","2024-09-24T00:06:38","38.50429","-75.77517","8.5","78.8","80.0","CONNIE ANN","","WDL9337","52","12","24","9","3.3","57","A"
"367176210","2024-09-24T00:08:49","38.41646","-75.84700","7.0","15.6","15.0","GRAM ME","","WDD6682","52","0","20","8","3.0","52","A"
"368076430","2024-09-24T00:09:39","38.36174","-75.61352","0.0","17.0","15.0","CAPE MAY","IMO8103028","WDK6628","31","15","61","12","4.3","31","A"
"338327527","2024-09-24T00:09:47","38.61215","-75.95912","0.0","80.8","511.0","SAND DOLLAR","IMO0000000","","37","","19","6","","","B"
"368076430","2024-09-24T00:11:57","38.36174","-75.61352","0.0","17.0","15.0","CAPE MAY","IMO8103028","WDK6628","31","15","61","12","4.3","31","A"
"368076430","2024-09-24T00:10:49","38.36174","-75.61352","0.0","17.0","15.0","CAPE MAY","IMO8103028","WDK6628","31","15","61","12","4.3","31","A"
"368076430","2024-09-24T00:13:08","38.36174","-75.61352","0.0","17.0","15.0","CAPE MAY","IMO8103028","WDK6628","31","15","61","12","4.3","31","A"
"367176210","2024-09-24T00:12:55","38.42340","-75.84263","5.8","69.2","83.0","GRAM ME","","WDD6682","52","0","20","8","3.0","52","A"
"367176210","2024-09-24T00:11:46","38.42204","-75.84458","7.4","26.9","46.0","GRAM ME","","WDD6682","52","0","20","8","3.0","52","A"
"368178130","2024-09-24T00:13:39","38.51235","-75.75790","8.7","34.7","34.0","CONNIE ANN","","WDL9337","52","12","24","9","3.3","57","A"
"367176210","2024-09-24T00:13:59","38.42373","-75.84051","5.6","93.8","97.0","GRAM ME","","WDD6682","52","0","20","8","3.0","52","A"
"367176210","2024-09-24T00:15:38","38.42346","-75.83689","6.4","93.0","91.0","GRAM ME","","WDD6682","52","0","20","8","3.0","52","A"
"368076430","2024-09-24T00:16:38","38.36174","-75.61352","0.0","17.0","15.0","CAPE MAY","IMO8103028","WDK6628","31","15","61","12","4.3","31","A"
"368076430","2024-09-24T00:14:18","38.36174","-75.61352","0.0","17.0","15.0","CAPE MAY","IMO8103028","WDK6628","31","15","61","12","4.3","31","A"
"367176210","2024-09-24T00:17:08","38.42320","-75.83337","6.9","93.3","88.0","GRAM ME","","WDD6682","52","0","20","8","3.0","52","A"
"368076430","2024-09-24T00:17:39","38.36174","-75.61352","0.0","17.0","15.0","CAPE MAY","IMO8103028","WDK6628","31","15","61","12","4.3","31","A"
"368076430","2024-09-24T00:19:08","38.36174","-75.61352","0.0","17.0","15.0","CAPE MAY","IMO8103028","WDK6628","31","15","61","12","4.3","31","A"
"368076430","2024-09-24T00:15:27","38.36174","-75.61352","0.0","17.0","15.0","CAPE MAY","IMO8103028","WDK6628","31","15","61","12","4.3","31","A"
"338327527","2024-09-24T00:18:45","38.61215","-75.95912","0.0","80.8","511.0","SAND DOLLAR","IMO0000000","","37","","19","6","","","B"
"368076430","2024-09-24T00:20:28","38.36174","-75.61352","0.0","17.0","15.0","CAPE MAY","IMO8103028","WDK6628","31","15","61","12","4.3","31","A"
