"","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TransceiverClass"
"1",366934030,2023-09-19 00:00:04,38.50555,-75.76918,7.4,252.7,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"2",366934030,2023-09-19 00:01:13,38.50486,-75.77201,7.5,253.9,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"3",366934030,2023-09-19 00:02:23,38.50411,-75.77504,7.6,253.5,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"4",366934030,2023-09-19 00:03:35,38.50342,-75.77805,7.5,253.3,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"5",368126820,2023-09-19 00:03:18,38.36172,-75.61351,0,325,359,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"6",338426241,2023-09-19 00:04:39,38.28687,-75.75878,0,360,511,"ANOTHER DAY PARADISE","IMO0000000",NA,37,NA,17,4,NA,NA,"B"
"7",366934030,2023-09-19 00:04:44,38.50271,-75.78096,7.6,245.9,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"8",366934030,2023-09-19 00:05:53,38.5013,-75.78352,7.5,225.3,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"9",366934030,2023-09-19 00:07:04,38.49956,-75.78559,7.3,224.4,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"10",366934030,2023-09-19 00:08:13,38.49786,-75.78768,7.3,225.2,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"11",366934030,2023-09-19 00:09:23,38.49621,-75.78978,7.4,226,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"12",366934030,2023-09-19 00:10:33,38.49451,-75.79198,7.5,224.7,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"13",366934030,2023-09-19 00:12:54,38.49145,-75.79693,7.7,247.4,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"14",366934030,2023-09-19 00:15:14,38.49036,-75.80301,7.4,261.5,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"15",366934030,2023-09-19 00:14:04,38.49074,-75.79996,7.7,259.6,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"16",366934030,2023-09-19 00:17:34,38.49012,-75.80912,7.7,267.9,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"17",366934030,2023-09-19 00:16:24,38.49021,-75.80608,7.4,266,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"18",366934030,2023-09-19 00:18:44,38.4897,-75.8123,7.8,250.7,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"19",366934030,2023-09-19 00:11:44,38.49277,-75.79437,7.7,228.7,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"20",366934030,2023-09-19 00:19:55,38.48828,-75.81489,7.9,225.9,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"21",366934030,2023-09-19 00:21:04,38.48661,-75.81733,7.8,228.7,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"22",368126820,2023-09-19 00:21:19,38.36171,-75.61351,0,325,0,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"23",366934030,2023-09-19 00:22:14,38.48476,-75.8195,7.6,222,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"24",366934030,2023-09-19 00:23:33,38.48282,-75.82178,6.6,223.9,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"25",366934030,2023-09-19 00:25:55,38.47969,-75.82421,7.8,204.1,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"26",366934030,2023-09-19 00:24:44,38.48139,-75.82318,4.7,206.9,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"27",366934030,2023-09-19 00:27:14,38.47698,-75.82374,7.9,143.9,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"28",366934030,2023-09-19 00:28:33,38.47483,-75.82128,7.7,138,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"29",338426241,2023-09-19 00:28:00,38.28686,-75.75884,0.2,360,511,"ANOTHER DAY PARADISE","IMO0000000",NA,37,NA,17,4,NA,NA,"B"
"30",366934030,2023-09-19 00:29:44,38.47297,-75.81912,7.7,137.2,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"31",338426241,2023-09-19 00:30:41,38.28684,-75.75874,0,360,511,"ANOTHER DAY PARADISE","IMO0000000",NA,37,NA,17,4,NA,NA,"B"
"32",366934030,2023-09-19 00:31:54,38.46916,-75.81589,7.7,162,511,"MILTON W","IMO8635485","WCY5041",31,5,17,7,NA,31,"A"
"33",368126820,2023-09-19 00:33:18,38.36171,-75.61351,0,325,2,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
