"MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TransceiverClass"
"367725880","2024-09-30T00:00:09","38.63503","-75.61617","0.0","63.8","31.0","JACK HOLLAND","IMO8990952","WDI7153","52","0","22","7","2.6","52","A"
"367031390","2024-09-30T00:00:21","38.22998","-75.87247","5.7","0.0","11.0","CAPTAIN HANK","","WCR9342","52","0","24","10","2.9","52","A"
"368126820","2024-09-30T00:00:53","38.36173","-75.61351","0.0","11.0","4.0","ANNAPOLIS","","WDL3968","52","5","30","12","2.8","52","A"
"367725880","2024-09-30T00:01:20","38.63503","-75.61618","0.0","60.4","31.0","JACK HOLLAND","IMO8990952","WDI7153","52","0","22","7","2.6","52","A"
"367725880","2024-09-30T00:02:29","38.63502","-75.61618","0.0","115.6","31.0","JACK HOLLAND","IMO8990952","WDI7153","52","0","22","7","2.6","52","A"
"368126820","2024-09-30T00:03:52","38.36173","-75.61351","0.0","11.0","4.0","ANNAPOLIS","","WDL3968","52","5","30","12","2.8","52","A"
"367725880","2024-09-30T00:03:40","38.63504","-75.61617","0.0","292.9","32.0","JACK HOLLAND","IMO8990952","WDI7153","52","0","22","7","2.6","52","A"
"367031390","2024-09-30T00:03:21","38.23397","-75.86992","5.4","48.9","56.0","CAPTAIN HANK","","WCR9342","52","0","24","10","2.9","52","A"
"367725880","2024-09-30T00:04:50","38.63503","-75.61618","0.0","111.9","32.0","JACK HOLLAND","IMO8990952","WDI7153","52","0","22","7","2.6","52","A"
"367031390","2024-09-30T00:05:18","38.23558","-75.86665","5.6","59.6","59.0","CAPTAIN HANK","","WCR9342","52","0","24","10","2.9","52","A"
"367725880","2024-09-30T00:06:00","38.63504","-75.61619","0.0","292.5","33.0","JACK HOLLAND","IMO8990952","WDI7153","52","0","22","7","2.6","52","A"
"338327527","2024-09-30T00:06:17","38.61214","-75.95911","0.0","12.0","511.0","SAND DOLLAR","IMO0000000","","37","","19","6","","","B"
"368126820","2024-09-30T00:06:53","38.36173","-75.61351","0.0","11.0","4.0","ANNAPOLIS","","WDL3968","52","5","30","12","2.8","52","A"
"367725880","2024-09-30T00:07:20","38.63503","-75.61620","0.0","98.2","32.0","JACK HOLLAND","IMO8990952","WDI7153","52","0","22","7","2.6","52","A"
"367031390","2024-09-30T00:07:28","38.23730","-75.86297","5.7","60.2","62.0","CAPTAIN HANK","","WCR9342","52","0","24","10","2.9","52","A"
"367725880","2024-09-30T00:08:30","38.63502","-75.61619","0.0","116.1","32.0","JACK HOLLAND","IMO8990952","WDI7153","52","0","22","7","2.6","52","A"
"368126820","2024-09-30T00:09:52","38.36173","-75.61351","0.0","11.0","4.0","ANNAPOLIS","","WDL3968","52","5","30","12","2.8","52","A"
"367725880","2024-09-30T00:09:39","38.63503","-75.61619","0.0","304.3","31.0","JACK HOLLAND","IMO8990952","WDI7153","52","0","22","7","2.6","52","A"
"367725880","2024-09-30T00:10:49","38.63502","-75.61620","0.0","107.2","32.0","JACK HOLLAND","IMO8990952","WDI7153","52","0","22","7","2.6","52","A"
"367725880","2024-09-30T00:12:29","38.63503","-75.61618","0.0","268.2","33.0","JACK HOLLAND","IMO8990952","WDI7153","52","0","22","7","2.6","52","A"
"368126820","2024-09-30T00:12:54","38.36173","-75.61351","0.0","11.0","4.0","ANNAPOLIS","","WDL3968","52","5","30","12","2.8","52","A"
"367031390","2024-09-30T00:12:18","38.24113","-75.85423","6.0","59.1","54.0","CAPTAIN HANK","","WCR9342","52","0","24","10","2.9","52","A"
"367725880","2024-09-30T00:13:40","38.63501","-75.61616","0.0","123.8","33.0","JACK HOLLAND","IMO8990952","WDI7153","52","0","22","7","2.6","52","A"
"367031390","2024-09-30T00:13:38","38.24245","-75.85202","5.9","42.6","35.0","CAPTAIN HANK","","WCR9342","52","0","24","10","2.9","52","A"
"367725880","2024-09-30T00:14:49","38.63503","-75.61618","0.0","281.6","34.0","JACK HOLLAND","IMO8990952","WDI7153","52","0","22","7","2.6","52","A"
"367031390","2024-09-30T00:15:27","38.24500","-75.84983","6.0","26.3","23.0","CAPTAIN HANK","","WCR9342","52","0","24","10","2.9","52","A"
"368126820","2024-09-30T00:15:52","38.36173","-75.61351","0.0","11.0","4.0","ANNAPOLIS","","WDL3968","52","5","30","12","2.8","52","A"
"367725880","2024-09-30T00:16:10","38.63502","-75.61619","0.0","113.6","34.0","JACK HOLLAND","IMO8990952","WDI7153","52","0","22","7","2.6","52","A"
"367031390","2024-09-30T00:16:58","38.24727","-75.84857","5.8","20.5","18.0","CAPTAIN HANK","","WCR9342","52","0","24","10","2.9","52","A"
"367725880","2024-09-30T00:18:30","38.63502","-75.61617","0.0","334.5","35.0","JACK HOLLAND","IMO8990952","WDI7153","52","0","22","7","2.6","52","A"
"368126820","2024-09-30T00:18:52","38.36173","-75.61351","0.0","11.0","3.0","ANNAPOLIS","","WDL3968","52","5","30","12","2.8","52","A"
"367725880","2024-09-30T00:17:21","38.63503","-75.61619","0.0","101.6","34.0","JACK HOLLAND","IMO8990952","WDI7153","52","0","22","7","2.6","52","A"
"367031390","2024-09-30T00:19:55","38.25177","-75.84667","5.6","20.5","39.0","CAPTAIN HANK","","WCR9342","52","0","24","10","2.9","52","A"
"367031390","2024-09-30T00:18:49","38.25013","-75.84725","5.8","19.4","16.0","CAPTAIN HANK","","WCR9342","52","0","24","10","2.9","52","A"
"367725880","2024-09-30T00:20:10","38.63502","-75.61618","0.0","300.1","36.0","JACK HOLLAND","IMO8990952","WDI7153","52","0","22","7","2.6","52","A"
"367031390","2024-09-30T00:21:08","38.25320","-75.84513","5.4","46.5","51.0","CAPTAIN HANK","","WCR9342","52","0","24","10","2.9","52","A"
"367725880","2024-09-30T00:22:30","38.63502","-75.61619","0.0","205.4","36.0","JACK HOLLAND","IMO8990952","WDI7153","52","0","22","7","2.6","52","A"
