"","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TransceiverClass"
"1",368260710,2023-09-15 00:00:06,38.63703,-75.61443,0,40,210,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"2",367176210,2023-09-15 00:02:05,38.34958,-75.6213,6.1,234.3,242,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"3",368260710,2023-09-15 00:01:36,38.63703,-75.6144,0,40,210,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"4",368193830,2023-09-15 00:02:04,38.33912,-75.66853,4.9,76.9,56,"ROCK HALL","IMO1294623","WDM3063",52,12,30,12,2.7,52,"A"
"5",368193830,2023-09-15 00:03:23,38.34034,-75.66694,5,34.9,35,"ROCK HALL","IMO1294623","WDM3063",52,12,30,12,2.7,52,"A"
"6",368260710,2023-09-15 00:03:06,38.637,-75.6144,0,40,209,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"7",367176210,2023-09-15 00:04:25,38.34801,-75.62672,7.2,255.7,252,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"8",368193830,2023-09-15 00:05:10,38.34237,-75.6652,5.1,35.7,43,"ROCK HALL","IMO1294623","WDM3063",52,12,30,12,2.7,52,"A"
"9",368260710,2023-09-15 00:05:36,38.63701,-75.61441,0,40,209,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"10",368260710,2023-09-15 00:04:15,38.63703,-75.61444,0,40,209,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"11",368193830,2023-09-15 00:06:14,38.34344,-75.66384,4.9,54.6,71,"ROCK HALL","IMO1294623","WDM3063",52,12,30,12,2.7,52,"A"
"12",368260710,2023-09-15 00:06:46,38.63702,-75.61446,0,40,209,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"13",367176210,2023-09-15 00:05:59,38.34705,-75.63037,6.4,241,220,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"14",367176210,2023-09-15 00:07:25,38.34483,-75.6325,7.2,210.5,207,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"15",368260710,2023-09-15 00:07:56,38.63701,-75.61445,0,40,210,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"16",368193830,2023-09-15 00:10:44,38.34172,-75.65683,5.1,144.7,143,"ROCK HALL","IMO1294623","WDM3063",52,12,30,12,2.7,52,"A"
"17",368193830,2023-09-15 00:07:20,38.34383,-75.66196,5.3,91.1,92,"ROCK HALL","IMO1294623","WDM3063",52,12,30,12,2.7,52,"A"
"18",368260710,2023-09-15 00:09:05,38.63702,-75.61445,0,40,210,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"19",368193830,2023-09-15 00:08:24,38.34381,-75.65994,5,102.8,114,"ROCK HALL","IMO1294623","WDM3063",52,12,30,12,2.7,52,"A"
"20",368260710,2023-09-15 00:11:35,38.637,-75.61441,0,40,211,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"21",367176210,2023-09-15 00:09:08,38.34184,-75.63456,6.3,211.9,230,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"22",368193830,2023-09-15 00:09:27,38.34316,-75.65829,5.1,130.3,139,"ROCK HALL","IMO1294623","WDM3063",52,12,30,12,2.7,52,"A"
"23",368260710,2023-09-15 00:12:47,38.63699,-75.61443,0,40,210,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"24",367176210,2023-09-15 00:13:16,38.34167,-75.64386,7.4,294.2,299,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"25",367176210,2023-09-15 00:11:38,38.3406,-75.64013,6.9,272.6,286,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"26",367176210,2023-09-15 00:10:28,38.34074,-75.63717,6.9,259,263,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"27",368193830,2023-09-15 00:13:41,38.3399,-75.6527,4.9,79.7,70,"ROCK HALL","IMO1294623","WDM3063",52,12,30,12,2.7,52,"A"
"28",368260710,2023-09-15 00:10:26,38.63699,-75.61442,0,40,210,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"29",368193830,2023-09-15 00:11:48,38.3405,-75.65568,5.2,137.2,124,"ROCK HALL","IMO1294623","WDM3063",52,12,30,12,2.7,52,"A"
"30",368260710,2023-09-15 00:15:47,38.63699,-75.61446,0,40,210,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"31",367176210,2023-09-15 00:14:25,38.34259,-75.64624,5.2,284.7,258,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"32",368193830,2023-09-15 00:15:05,38.34056,-75.6506,4.2,55.3,55,"ROCK HALL","IMO1294623","WDM3063",52,12,30,12,2.7,52,"A"
"33",368193830,2023-09-15 00:17:37,38.3423,-75.64715,5,73.6,86,"ROCK HALL","IMO1294623","WDM3063",52,12,30,12,2.7,52,"A"
"34",367176210,2023-09-15 00:16:32,38.34184,-75.64921,4.7,225.4,224,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"35",368110190,2023-09-15 00:16:16,38.36116,-75.61353,0,315,209,"SALISBURY",NA,"WDL2234",52,5,30,12,0,52,"A"
"36",368193830,2023-09-15 00:16:35,38.34165,-75.64872,4.7,51.6,59,"ROCK HALL","IMO1294623","WDM3063",52,12,30,12,2.7,52,"A"
"37",368260710,2023-09-15 00:17:16,38.63699,-75.6144,0,40,210,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"38",368260710,2023-09-15 00:18:46,38.63699,-75.61446,0,40,210,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"39",367176210,2023-09-15 00:17:54,38.34058,-75.65103,5.9,224.2,237,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"40",368193830,2023-09-15 00:21:24,38.34054,-75.6414,4.7,98.3,91,"ROCK HALL","IMO1294623","WDM3063",52,12,30,12,2.7,52,"A"
"41",368193830,2023-09-15 00:18:47,38.34234,-75.64509,4.8,111,125,"ROCK HALL","IMO1294623","WDM3063",52,12,30,12,2.7,52,"A"
"42",368260710,2023-09-15 00:20:05,38.63696,-75.61439,0,40,210,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"43",367176210,2023-09-15 00:20:15,38.34065,-75.6558,7,314.9,322,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"44",368193830,2023-09-15 00:20:21,38.34103,-75.64296,4.9,128,115,"ROCK HALL","IMO1294623","WDM3063",52,12,30,12,2.7,52,"A"
"45",368260710,2023-09-15 00:21:25,38.637,-75.61444,0,40,210,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"46",368110190,2023-09-15 00:22:17,38.36116,-75.61353,0,315,209,"SALISBURY",NA,"WDL2234",52,5,30,12,0,52,"A"
"47",368260710,2023-09-15 00:22:35,38.63699,-75.61441,0,40,210,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"48",367176210,2023-09-15 00:22:37,38.34372,-75.6603,7,282.4,270,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"49",367176210,2023-09-15 00:21:35,38.34274,-75.65812,7.2,313.5,306,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"50",368193830,2023-09-15 00:24:57,38.3411,-75.63551,4.8,62.4,43,"ROCK HALL","IMO1294623","WDM3063",52,12,30,12,2.7,52,"A"
"51",368193830,2023-09-15 00:23:55,38.3408,-75.63724,4.8,82.9,78,"ROCK HALL","IMO1294623","WDM3063",52,12,30,12,2.7,52,"A"
"52",368260710,2023-09-15 00:26:06,38.63702,-75.61446,0,40,209,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"53",368260710,2023-09-15 00:23:46,38.63702,-75.61442,0,40,210,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"54",338426241,2023-09-15 00:24:41,38.28684,-75.75876,0,360,511,"ANOTHER DAY PARADISE","IMO0000000",NA,37,NA,17,4,NA,NA,"B"
"55",368193830,2023-09-15 00:26:04,38.34227,-75.63436,5,29.1,29,"ROCK HALL","IMO1294623","WDM3063",52,12,30,12,2.7,52,"A"
"56",367176210,2023-09-15 00:23:38,38.34376,-75.66279,6.8,257.4,237,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"57",367176210,2023-09-15 00:26:27,38.33963,-75.66743,6.6,228.5,247,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
