"","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TransceiverClass"
"1",338426241,2023-09-22 00:00:33,38.28687,-75.75884,0.7,360,511,"ANOTHER DAY PARADISE","IMO0000000",NA,37,NA,17,4,NA,NA,"B"
"2",367176210,2023-09-22 00:00:01,38.27229,-75.77395,0.8,292.7,223,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"3",367176210,2023-09-22 00:01:10,38.27164,-75.77474,3.6,227.1,227,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"4",367176210,2023-09-22 00:02:21,38.27024,-75.77684,7.7,231.8,231,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"5",338426241,2023-09-22 00:02:02,38.28687,-75.75865,0.1,360,511,"ANOTHER DAY PARADISE","IMO0000000",NA,37,NA,17,4,NA,NA,"B"
"6",367176210,2023-09-22 00:03:40,38.26855,-75.77972,7.8,238.4,242,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"7",338426241,2023-09-22 00:03:33,38.28685,-75.75873,0.5,360,511,"ANOTHER DAY PARADISE","IMO0000000",NA,37,NA,17,4,NA,NA,"B"
"8",367176210,2023-09-22 00:04:49,38.2676,-75.78258,7.6,257.6,258,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"9",367176210,2023-09-22 00:05:50,38.26729,-75.78525,7.8,264.9,263,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"10",368126820,2023-09-22 00:04:33,38.36171,-75.61352,0,192,357,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"11",368126820,2023-09-22 00:07:40,38.36171,-75.61352,0,192,357,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"12",367176210,2023-09-22 00:08:11,38.26696,-75.79176,7.9,262.6,259,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"13",367176210,2023-09-22 00:07:01,38.26717,-75.78852,7.9,267.5,263,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"14",367176210,2023-09-22 00:09:14,38.26651,-75.79454,7.5,250.2,233,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"15",367176210,2023-09-22 00:10:15,38.26535,-75.79643,6.6,210.5,188,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"16",367176210,2023-09-22 00:11:20,38.26335,-75.79733,7.7,200.7,195,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"17",368126820,2023-09-22 00:10:35,38.36171,-75.61352,0,192,357,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"18",338426241,2023-09-22 00:09:39,38.28689,-75.75882,0.2,360,511,"ANOTHER DAY PARADISE","IMO0000000",NA,37,NA,17,4,NA,NA,"B"
"19",367176210,2023-09-22 00:12:39,38.26061,-75.79861,8,200.2,195,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"20",367176210,2023-09-22 00:13:51,38.25816,-75.79972,7.9,195.7,202,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"21",368126820,2023-09-22 00:13:39,38.36171,-75.61352,0,192,357,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"22",338426241,2023-09-22 00:15:31,38.28688,-75.75876,0.2,360,511,"ANOTHER DAY PARADISE","IMO0000000",NA,37,NA,17,4,NA,NA,"B"
"23",367176210,2023-09-22 00:15:58,38.25487,-75.80349,7.8,242,249,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"24",367176210,2023-09-22 00:17:01,38.25419,-75.80622,7.5,266.6,270,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"25",367176210,2023-09-22 00:14:55,38.25623,-75.80116,7.7,226.2,233,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"26",367176210,2023-09-22 00:19:09,38.25504,-75.81193,8.1,288.6,288,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"27",368126820,2023-09-22 00:19:40,38.36172,-75.61352,0,192,357,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"28",367176210,2023-09-22 00:21:30,38.2566,-75.81826,8,287.3,286,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
