"","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TransceiverClass"
"1",367725880,2023-09-18 00:00:08,38.63509,-75.61615,0.1,96.5,29,"JACK HOLLAND","IMO8990952","WDI7153",31,0,20,7,NA,52,"A"
"2",367725880,2023-09-18 00:01:19,38.63509,-75.61615,0.1,180.9,32,"JACK HOLLAND","IMO8990952","WDI7153",31,0,20,7,NA,52,"A"
"3",366948310,2023-09-18 00:01:31,38.63237,-75.61756,0,300,25,"FORT PIKE",NA,"WAA9418",31,0,19,7,NA,52,"A"
"4",366948310,2023-09-18 00:03:12,38.63235,-75.61755,0,288.5,25,"FORT PIKE",NA,"WAA9418",31,0,19,7,NA,52,"A"
"5",367725880,2023-09-18 00:02:28,38.63509,-75.61615,0.1,61.7,32,"JACK HOLLAND","IMO8990952","WDI7153",31,0,20,7,NA,52,"A"
"6",367725880,2023-09-18 00:03:38,38.6351,-75.61615,0,308.1,34,"JACK HOLLAND","IMO8990952","WDI7153",31,0,20,7,NA,52,"A"
"7",367725880,2023-09-18 00:05:48,38.6351,-75.61615,0.1,70.4,30,"JACK HOLLAND","IMO8990952","WDI7153",31,0,20,7,NA,52,"A"
"8",367725880,2023-09-18 00:04:39,38.6351,-75.61615,0.1,335.9,32,"JACK HOLLAND","IMO8990952","WDI7153",31,0,20,7,NA,52,"A"
"9",367725880,2023-09-18 00:06:57,38.6351,-75.61615,0,230.6,32,"JACK HOLLAND","IMO8990952","WDI7153",31,0,20,7,NA,52,"A"
"10",366948310,2023-09-18 00:07:21,38.63237,-75.61755,0,307.6,25,"FORT PIKE",NA,"WAA9418",31,0,19,7,NA,52,"A"
"11",366948310,2023-09-18 00:10:01,38.63237,-75.61755,0,291.3,26,"FORT PIKE",NA,"WAA9418",31,0,19,7,NA,52,"A"
"12",367725880,2023-09-18 00:08:19,38.6351,-75.61615,0,167.2,32,"JACK HOLLAND","IMO8990952","WDI7153",31,0,20,7,NA,52,"A"
"13",367725880,2023-09-18 00:10:38,38.6351,-75.61615,0,248.9,28,"JACK HOLLAND","IMO8990952","WDI7153",31,0,20,7,NA,52,"A"
"14",367725880,2023-09-18 00:09:28,38.6351,-75.61615,0.1,326.5,34,"JACK HOLLAND","IMO8990952","WDI7153",31,0,20,7,NA,52,"A"
"15",366948310,2023-09-18 00:11:52,38.63236,-75.61755,0,274.1,26,"FORT PIKE",NA,"WAA9418",31,0,19,7,NA,52,"A"
"16",367725880,2023-09-18 00:12:58,38.6351,-75.61615,0.1,287.8,32,"JACK HOLLAND","IMO8990952","WDI7153",31,0,20,7,NA,52,"A"
"17",367725880,2023-09-18 00:11:47,38.6351,-75.61615,0,186,31,"JACK HOLLAND","IMO8990952","WDI7153",31,0,20,7,NA,52,"A"
"18",367725880,2023-09-18 00:14:09,38.6351,-75.61615,0.1,283.5,32,"JACK HOLLAND","IMO8990952","WDI7153",31,0,20,7,NA,52,"A"
"19",367725880,2023-09-18 00:15:18,38.6351,-75.61615,0,190.7,33,"JACK HOLLAND","IMO8990952","WDI7153",31,0,20,7,NA,52,"A"
"20",366948310,2023-09-18 00:13:12,38.63237,-75.61756,0,302.1,26,"FORT PIKE",NA,"WAA9418",31,0,19,7,NA,52,"A"
"21",366948310,2023-09-18 00:16:12,38.63236,-75.61755,0,301.5,27,"FORT PIKE",NA,"WAA9418",31,0,19,7,NA,52,"A"
"22",367725880,2023-09-18 00:16:47,38.6351,-75.61615,0.1,359.3,33,"JACK HOLLAND","IMO8990952","WDI7153",31,0,20,7,NA,52,"A"
"23",367725880,2023-09-18 00:18:58,38.6351,-75.61615,0.1,268.1,32,"JACK HOLLAND","IMO8990952","WDI7153",31,0,20,7,NA,52,"A"
"24",366948310,2023-09-18 00:17:32,38.63236,-75.61756,0,280.8,26,"FORT PIKE",NA,"WAA9418",31,0,19,7,NA,52,"A"
"25",367725880,2023-09-18 00:20:08,38.6351,-75.61615,0.1,310.5,35,"JACK HOLLAND","IMO8990952","WDI7153",31,0,20,7,NA,52,"A"
"26",366948310,2023-09-18 00:19:01,38.63235,-75.61756,0,232,26,"FORT PIKE",NA,"WAA9418",31,0,19,7,NA,52,"A"
"27",366948310,2023-09-18 00:22:31,38.63236,-75.61756,0,281,26,"FORT PIKE",NA,"WAA9418",31,0,19,7,NA,52,"A"
"28",366948310,2023-09-18 00:20:32,38.63238,-75.61756,0,312.7,26,"FORT PIKE",NA,"WAA9418",31,0,19,7,NA,52,"A"
"29",367725880,2023-09-18 00:23:57,38.6351,-75.61615,0,285.3,31,"JACK HOLLAND","IMO8990952","WDI7153",31,0,20,7,NA,52,"A"
"30",366948310,2023-09-18 00:23:51,38.63235,-75.61756,0,252.2,26,"FORT PIKE",NA,"WAA9418",31,0,19,7,NA,52,"A"
"31",367725880,2023-09-18 00:21:39,38.6351,-75.61615,0,210.1,31,"JACK HOLLAND","IMO8990952","WDI7153",31,0,20,7,NA,52,"A"
"32",366948310,2023-09-18 00:25:31,38.63236,-75.61755,0,274.3,26,"FORT PIKE",NA,"WAA9418",31,0,19,7,NA,52,"A"
"33",367725880,2023-09-18 00:25:07,38.6351,-75.61615,0.1,347.6,29,"JACK HOLLAND","IMO8990952","WDI7153",31,0,20,7,NA,52,"A"
"34",367725880,2023-09-18 00:22:49,38.6351,-75.61615,0,263.5,31,"JACK HOLLAND","IMO8990952","WDI7153",31,0,20,7,NA,52,"A"
