"","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TransceiverClass"
"1",368126820,2023-09-24 00:01:48,38.36172,-75.61352,0,192,356,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"2",368126820,2023-09-24 00:04:52,38.36172,-75.61352,0,192,356,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"3",368126820,2023-09-24 00:07:47,38.36172,-75.61352,0,192,356,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"4",368126820,2023-09-24 00:10:51,38.36172,-75.61352,0,192,356,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"5",368126820,2023-09-24 00:13:46,38.36172,-75.61352,0,192,357,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"6",368126820,2023-09-24 00:19:46,38.36172,-75.61352,0,192,357,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"7",368126820,2023-09-24 00:22:50,38.36172,-75.61352,0,192,357,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"8",368126820,2023-09-24 00:25:46,38.36171,-75.61352,0,192,357,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"9",368126820,2023-09-24 00:28:50,38.36172,-75.61352,0,192,357,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"10",368126820,2023-09-24 00:31:48,38.36172,-75.61352,0,192,357,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"11",368126820,2023-09-24 00:34:50,38.36172,-75.61352,0,192,357,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"12",368126820,2023-09-24 00:37:47,38.36171,-75.61352,0,192,357,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"13",368126820,2023-09-24 00:40:52,38.36171,-75.61352,0,192,357,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"14",367628070,2023-09-24 00:41:40,38.63086,-75.61884,0,202.4,511,"DMO LISTO",NA,"WDH5451",31,0,18,7,NA,31,"A"
"15",368126820,2023-09-24 00:43:48,38.36171,-75.61352,0,192,357,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"16",368126820,2023-09-24 00:49:47,38.36171,-75.61352,0,192,357,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
"17",367628070,2023-09-24 00:52:39,38.63087,-75.61887,0,354,511,"DMO LISTO",NA,"WDH5451",31,0,18,7,NA,31,"A"
"18",368126820,2023-09-24 00:52:53,38.36171,-75.61352,0,192,356,"ANNAPOLIS",NA,"WDL3968",52,5,30,12,2.8,52,"A"
