"MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TransceiverClass"
"368126820","2024-08-18T00:03:17","38.36173","-75.61352","0.0","353.0","357.0","ANNAPOLIS","","WDL3968","52","5","30","12","2.8","52","A"
"368193830","2024-08-18T00:06:05","38.35419","-75.61944","0.0","46.5","38.0","ROCK HALL","IMO1294623","WDM3063","52","5","120","17","2.7","52","A"
"338327527","2024-08-18T00:08:43","38.61214","-75.95913","0.0","5.1","511.0","SAND DOLLAR","IMO0000000","","37","","19","6","","","B"
"367031390","2024-08-18T00:07:44","38.35968","-75.61473","0.0","281.1","41.0","CAPTAIN HANK","","WCR9342","52","0","24","10","3.3","52","A"
"368126820","2024-08-18T00:09:19","38.36173","-75.61352","0.0","353.0","357.0","ANNAPOLIS","","WDL3968","52","5","30","12","2.8","52","A"
"368126820","2024-08-18T00:12:15","38.36174","-75.61352","0.0","353.0","356.0","ANNAPOLIS","","WDL3968","52","5","30","12","2.8","52","A"
"368126820","2024-08-18T00:15:19","38.36174","-75.61352","0.0","353.0","356.0","ANNAPOLIS","","WDL3968","52","5","30","12","2.8","52","A"
"368193830","2024-08-18T00:15:09","38.35417","-75.61942","0.0","347.5","38.0","ROCK HALL","IMO1294623","WDM3063","52","5","120","17","2.7","52","A"
"368126820","2024-08-18T00:18:17","38.36174","-75.61352","0.0","353.0","357.0","ANNAPOLIS","","WDL3968","52","5","30","12","2.8","52","A"
"368193830","2024-08-18T00:18:09","38.35421","-75.61945","0.0","346.2","38.0","ROCK HALL","IMO1294623","WDM3063","52","5","120","17","2.7","52","A"
"338327527","2024-08-18T00:20:42","38.61215","-75.95912","0.0","5.1","511.0","SAND DOLLAR","IMO0000000","","37","","19","6","","","B"
"368126820","2024-08-18T00:21:18","38.36174","-75.61352","0.0","353.0","356.0","ANNAPOLIS","","WDL3968","52","5","30","12","2.8","52","A"
