"MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TransceiverClass"
"367127830","2024-09-15T00:00:01","38.63653","-75.61493","0.0","244.8","511.0","NIKKI JO C","","WBA5546","52","0","20","8","3.5","52","A"
"368219010","2024-09-15T00:00:07","38.63689","-75.61471","0.0","222.3","27.0","VENGEANCE","","WDM5765","52","0","23","7","2.9","52","A"
"367725910","2024-09-15T00:00:08","38.63517","-75.61612","0.0","256.5","511.0","LORRETTE","IMO8990938","WDI7155","32","0","20","8","2.9","32","A"
"367127830","2024-09-15T00:01:10","38.63654","-75.61493","0.0","242.3","511.0","NIKKI JO C","","WBA5546","52","0","20","8","3.5","52","A"
"366948310","2024-09-15T00:01:17","38.29142","-75.92902","6.3","347.8","349.0","FORT PIKE","","WAA9418","31","0","19","7","2.5","52","A"
"368219010","2024-09-15T00:01:18","38.63689","-75.61471","0.0","223.3","27.0","VENGEANCE","","WDM5765","52","0","23","7","2.9","52","A"
"367725910","2024-09-15T00:01:19","38.63517","-75.61609","0.0","245.3","511.0","LORRETTE","IMO8990938","WDI7155","32","0","20","8","2.9","32","A"
"367127830","2024-09-15T00:02:40","38.63656","-75.61493","0.0","246.4","511.0","NIKKI JO C","","WBA5546","52","0","20","8","3.5","52","A"
"366948310","2024-09-15T00:02:37","38.29371","-75.92957","6.2","351.3","356.0","FORT PIKE","","WAA9418","31","0","19","7","2.5","52","A"
"368219010","2024-09-15T00:02:37","38.63689","-75.61471","0.0","222.3","27.0","VENGEANCE","","WDM5765","52","0","23","7","2.9","52","A"
"367725910","2024-09-15T00:02:38","38.63517","-75.61611","0.0","257.1","511.0","LORRETTE","IMO8990938","WDI7155","32","0","20","8","2.9","32","A"
"367127830","2024-09-15T00:04:01","38.63653","-75.61496","0.0","246.1","511.0","NIKKI JO C","","WBA5546","52","0","20","8","3.5","52","A"
"367725910","2024-09-15T00:03:47","38.63518","-75.61609","0.0","255.4","511.0","LORRETTE","IMO8990938","WDI7155","32","0","20","8","2.9","32","A"
"366948310","2024-09-15T00:05:37","38.29861","-75.92884","5.7","11.3","9.0","FORT PIKE","","WAA9418","31","0","19","7","2.5","52","A"
"366948310","2024-09-15T00:03:57","38.29595","-75.92962","5.9","9.7","12.0","FORT PIKE","","WAA9418","31","0","19","7","2.5","52","A"
"368219010","2024-09-15T00:04:18","38.63689","-75.61471","0.0","226.1","28.0","VENGEANCE","","WDM5765","52","0","23","7","2.9","52","A"
"368219010","2024-09-15T00:06:46","38.63689","-75.61471","0.0","229.4","28.0","VENGEANCE","","WDM5765","52","0","23","7","2.9","52","A"
"367127830","2024-09-15T00:05:10","38.63656","-75.61493","0.0","242.9","511.0","NIKKI JO C","","WBA5546","52","0","20","8","3.5","52","A"
"367725910","2024-09-15T00:05:09","38.63517","-75.61609","0.0","252.3","511.0","LORRETTE","IMO8990938","WDI7155","32","0","20","8","2.9","32","A"
"367127830","2024-09-15T00:06:50","38.63658","-75.61486","0.0","246.9","511.0","NIKKI JO C","","WBA5546","52","0","20","8","3.5","52","A"
"368219010","2024-09-15T00:07:57","38.63689","-75.61471","0.0","220.3","28.0","VENGEANCE","","WDM5765","52","0","23","7","2.9","52","A"
"368219010","2024-09-15T00:05:27","38.63689","-75.61471","0.0","230.3","28.0","VENGEANCE","","WDM5765","52","0","23","7","2.9","52","A"
"368126820","2024-09-15T00:06:44","38.36166","-75.61352","0.0","301.0","14.0","ANNAPOLIS","","WDL3968","52","5","30","12","2.8","52","A"
"367725910","2024-09-15T00:06:28","38.63519","-75.61609","0.0","255.7","511.0","LORRETTE","IMO8990938","WDI7155","32","0","20","8","2.9","32","A"
"367725910","2024-09-15T00:08:09","38.63521","-75.61609","0.0","255.6","511.0","LORRETTE","IMO8990938","WDI7155","32","0","20","8","2.9","32","A"
"367127830","2024-09-15T00:09:21","38.63654","-75.61495","0.0","249.2","511.0","NIKKI JO C","","WBA5546","52","0","20","8","3.5","52","A"
"366948310","2024-09-15T00:08:27","38.30260","-75.92806","4.7","8.4","21.0","FORT PIKE","","WAA9418","31","0","19","7","2.5","52","A"
"366948310","2024-09-15T00:09:37","38.30396","-75.92747","4.3","26.3","31.0","FORT PIKE","","WAA9418","31","0","19","7","2.5","52","A"
"367725910","2024-09-15T00:09:18","38.63519","-75.61612","0.0","260.1","511.0","LORRETTE","IMO8990938","WDI7155","32","0","20","8","2.9","32","A"
"367127830","2024-09-15T00:10:30","38.63655","-75.61493","0.0","247.7","511.0","NIKKI JO C","","WBA5546","52","0","20","8","3.5","52","A"
"368219010","2024-09-15T00:09:47","38.63689","-75.61471","0.0","218.7","28.0","VENGEANCE","","WDM5765","52","0","23","7","2.9","52","A"
"366948310","2024-09-15T00:11:07","38.30554","-75.92634","4.3","29.4","23.0","FORT PIKE","","WAA9418","31","0","19","7","2.5","52","A"
"367127830","2024-09-15T00:08:00","38.63658","-75.61490","0.0","247.2","511.0","NIKKI JO C","","WBA5546","52","0","20","8","3.5","52","A"
"367127830","2024-09-15T00:11:40","38.63654","-75.61492","0.0","247.1","511.0","NIKKI JO C","","WBA5546","52","0","20","8","3.5","52","A"
"368219010","2024-09-15T00:10:57","38.63689","-75.61471","0.0","213.7","28.0","VENGEANCE","","WDM5765","52","0","23","7","2.9","52","A"
"367725910","2024-09-15T00:10:39","38.63518","-75.61612","0.0","262.3","511.0","LORRETTE","IMO8990938","WDI7155","32","0","20","8","2.9","32","A"
"367725910","2024-09-15T00:11:47","38.63520","-75.61613","0.0","258.5","511.0","LORRETTE","IMO8990938","WDI7155","32","0","20","8","2.9","32","A"
"368219010","2024-09-15T00:13:17","38.63689","-75.61471","0.0","215.4","28.0","VENGEANCE","","WDM5765","52","0","23","7","2.9","52","A"
"366948310","2024-09-15T00:12:58","38.30752","-75.92524","4.2","32.2","36.0","FORT PIKE","","WAA9418","31","0","19","7","2.5","52","A"
"366948310","2024-09-15T00:14:07","38.30861","-75.92420","4.3","40.1","38.0","FORT PIKE","","WAA9418","31","0","19","7","2.5","52","A"
"367725910","2024-09-15T00:12:57","38.63519","-75.61614","0.0","261.0","511.0","LORRETTE","IMO8990938","WDI7155","32","0","20","8","2.9","32","A"
"368219010","2024-09-15T00:14:27","38.63689","-75.61471","0.0","217.2","27.0","VENGEANCE","","WDM5765","52","0","23","7","2.9","52","A"
"367725910","2024-09-15T00:14:09","38.63520","-75.61610","0.0","254.6","511.0","LORRETTE","IMO8990938","WDI7155","32","0","20","8","2.9","32","A"
"367127830","2024-09-15T00:15:40","38.63652","-75.61491","0.0","247.3","511.0","NIKKI JO C","","WBA5546","52","0","20","8","3.5","52","A"
"367127830","2024-09-15T00:16:51","38.63651","-75.61494","0.0","248.7","511.0","NIKKI JO C","","WBA5546","52","0","20","8","3.5","52","A"
"368219010","2024-09-15T00:15:47","38.63689","-75.61471","0.0","217.0","27.0","VENGEANCE","","WDM5765","52","0","23","7","2.9","52","A"
"366948310","2024-09-15T00:16:47","38.31115","-75.92163","4.4","41.7","39.0","FORT PIKE","","WAA9418","31","0","19","7","2.5","52","A"
"367725910","2024-09-15T00:15:48","38.63518","-75.61610","0.0","255.1","511.0","LORRETTE","IMO8990938","WDI7155","32","0","20","8","2.9","32","A"
"368126820","2024-09-15T00:15:45","38.36166","-75.61352","0.0","301.0","13.0","ANNAPOLIS","","WDL3968","52","5","30","12","2.8","52","A"
"366948310","2024-09-15T00:15:27","38.30988","-75.92291","4.4","32.3","37.0","FORT PIKE","","WAA9418","31","0","19","7","2.5","52","A"
"368219010","2024-09-15T00:18:36","38.63689","-75.61471","0.0","221.1","28.0","VENGEANCE","","WDM5765","52","0","23","7","2.9","52","A"
"368126820","2024-09-15T00:18:48","38.36166","-75.61352","0.0","301.0","13.0","ANNAPOLIS","","WDL3968","52","5","30","12","2.8","52","A"
"366948310","2024-09-15T00:18:07","38.31237","-75.92029","4.4","38.8","37.0","FORT PIKE","","WAA9418","31","0","19","7","2.5","52","A"
"367725910","2024-09-15T00:18:19","38.63518","-75.61609","0.0","257.7","511.0","LORRETTE","IMO8990938","WDI7155","32","0","20","8","2.9","32","A"
