"MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TransceiverClass"
"367176210","2024-09-27T00:02:09","38.56560","-75.68217","5.9","47.5","48.0","GRAM ME","","WDD6682","52","0","20","8","3.0","52","A"
"338327527","2024-09-27T00:03:16","38.61215","-75.95911","0.0","34.8","511.0","SAND DOLLAR","IMO0000000","","37","","19","6","","","B"
"367176210","2024-09-27T00:05:09","38.56916","-75.67754","6.2","44.0","47.0","GRAM ME","","WDD6682","52","0","20","8","3.0","52","A"
"366948310","2024-09-27T00:15:07","38.63580","-75.61550","0.0","236.4","215.0","FORT PIKE","","WAA9418","31","0","19","7","2.5","52","A"
"367176210","2024-09-27T00:14:00","38.58140","-75.66974","5.9","346.1","349.0","GRAM ME","","WDD6682","52","0","20","8","3.0","52","A"
"367176210","2024-09-27T00:18:51","38.58890","-75.66810","5.5","63.9","68.0","GRAM ME","","WDD6682","52","0","20","8","3.0","52","A"
"367176210","2024-09-27T00:22:20","38.59030","-75.66139","5.4","49.1","35.0","GRAM ME","","WDD6682","52","0","20","8","3.0","52","A"
"366948310","2024-09-27T00:23:18","38.63580","-75.61550","0.0","200.4","215.0","FORT PIKE","","WAA9418","31","0","19","7","2.5","52","A"
"338327527","2024-09-27T00:21:18","38.61216","-75.95911","0.0","34.8","511.0","SAND DOLLAR","IMO0000000","","37","","19","6","","","B"
"338327527","2024-09-27T00:24:16","38.61216","-75.95911","0.0","34.8","511.0","SAND DOLLAR","IMO0000000","","37","","19","6","","","B"
"366948310","2024-09-27T00:25:38","38.63579","-75.61548","0.0","233.7","214.0","FORT PIKE","","WAA9418","31","0","19","7","2.5","52","A"
"367176210","2024-09-27T00:28:18","38.59925","-75.65703","5.9","29.3","23.0","GRAM ME","","WDD6682","52","0","20","8","3.0","52","A"
"367176210","2024-09-27T00:36:23","38.60779","-75.64516","5.7","45.6","36.0","GRAM ME","","WDD6682","52","0","20","8","3.0","52","A"
