"","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TransceiverClass"
"1",367176210,2023-09-21 00:00:10,38.35755,-75.61622,3.8,28.1,32,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"2",367176210,2023-09-21 00:02:10,38.35938,-75.61457,4.4,40.4,38,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"3",368110190,2023-09-21 00:02:33,38.36158,-75.61351,0,300,287,"SALISBURY",NA,"WDL2234",52,5,30,12,2.6,52,"A"
"4",368126820,2023-09-21 00:03:16,38.22617,-75.87259,7.7,3,1,"ANNAPOLIS",NA,"WDL3968",52,12,30,12,3.3,52,"A"
"5",368126820,2023-09-21 00:04:27,38.22877,-75.87255,7.9,0.6,358,"ANNAPOLIS",NA,"WDL3968",52,12,30,12,2.8,52,"A"
"6",368126820,2023-09-21 00:05:31,38.23116,-75.87257,7.9,2,20,"ANNAPOLIS",NA,"WDL3968",52,12,30,12,2.8,52,"A"
"7",368110190,2023-09-21 00:05:27,38.36158,-75.6135,0,300,287,"SALISBURY",NA,"WDL2234",52,5,30,12,2.6,52,"A"
"8",367176210,2023-09-21 00:07:01,38.36245,-75.61064,2.8,71.9,76,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"9",368193830,2023-09-21 00:05:44,38.35417,-75.61944,0,29,38,"ROCK HALL","IMO1294623","WDM3063",52,5,30,12,2.7,52,"A"
"10",368126820,2023-09-21 00:07:37,38.23418,-75.86906,7.5,60.3,54,"ANNAPOLIS",NA,"WDL3968",52,12,30,12,2.8,52,"A"
"11",368126820,2023-09-21 00:06:33,38.23289,-75.87125,7.3,37.3,43,"ANNAPOLIS",NA,"WDL3968",52,12,30,12,2.8,52,"A"
"12",368126820,2023-09-21 00:08:47,38.23556,-75.86644,7.7,56.1,54,"ANNAPOLIS",NA,"WDL3968",52,12,30,12,2.8,52,"A"
"13",368126820,2023-09-21 00:10:07,38.2371,-75.86333,7.8,57.9,55,"ANNAPOLIS",NA,"WDL3968",52,12,30,12,2.8,52,"A"
"14",367176210,2023-09-21 00:10:41,38.36316,-75.60771,2,60.8,60,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"15",368126820,2023-09-21 00:11:17,38.2384,-75.86056,8,59,56,"ANNAPOLIS",NA,"WDL3968",52,12,30,12,2.8,52,"A"
"16",368126820,2023-09-21 00:12:27,38.23973,-75.85773,8,59.2,57,"ANNAPOLIS",NA,"WDL3968",52,12,30,12,2.8,52,"A"
"17",367176210,2023-09-21 00:11:50,38.36345,-75.60704,2,62.7,57,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"18",368126820,2023-09-21 00:13:37,38.24107,-75.85486,8.2,60.4,57,"ANNAPOLIS",NA,"WDL3968",52,12,30,12,2.8,52,"A"
"19",368193830,2023-09-21 00:14:42,38.35417,-75.61943,0,29,38,"ROCK HALL","IMO1294623","WDM3063",52,5,30,12,2.7,52,"A"
"20",368110190,2023-09-21 00:14:25,38.36158,-75.6135,0,300,287,"SALISBURY",NA,"WDL2234",52,5,30,12,2.6,52,"A"
"21",368126820,2023-09-21 00:14:44,38.24246,-75.85222,8,45.5,41,"ANNAPOLIS",NA,"WDL3968",52,12,30,12,2.8,52,"A"
"22",367176210,2023-09-21 00:15:10,38.36435,-75.60547,1.1,56.6,51,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
"23",368126820,2023-09-21 00:15:47,38.24421,-75.8503,7.9,33.1,24,"ANNAPOLIS",NA,"WDL3968",52,12,30,12,2.8,52,"A"
"24",367176210,2023-09-21 00:16:31,38.36458,-75.60509,0.8,47.6,49,"GRAM ME",NA,"WDD6682",31,15,17,7,NA,52,"A"
