"MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TransceiverClass"
"367176210","2024-09-20T00:00:29","38.63252","-75.61812","0.0","236.6","203.0","GRAM ME","","WDD6682","52","0","20","8","3.0","52","A"
"368260710","2024-09-20T00:00:38","38.39981","-75.84958","7.2","149.6","138.0","THOR","IMO8842246","WDN2293","52","15","158","12","3.0","31","A"
"367176210","2024-09-20T00:01:38","38.63250","-75.61813","0.0","234.4","204.0","GRAM ME","","WDD6682","52","0","20","8","3.0","52","A"
"368260710","2024-09-20T00:01:57","38.39763","-75.84748","7.5","137.1","134.0","THOR","IMO8842246","WDN2293","52","15","158","12","3.0","31","A"
"367176210","2024-09-20T00:02:57","38.63251","-75.61812","0.0","233.7","204.0","GRAM ME","","WDD6682","52","0","20","8","3.0","52","A"
"368260710","2024-09-20T00:03:08","38.39585","-75.84531","7.4","133.4","131.0","THOR","IMO8842246","WDN2293","52","15","158","12","3.0","31","A"
"368260710","2024-09-20T00:04:18","38.39425","-75.84308","7.5","131.1","130.0","THOR","IMO8842246","WDN2293","52","15","158","12","3.0","31","A"
"338327527","2024-09-20T00:05:16","38.61215","-75.95913","0.0","41.0","511.0","SAND DOLLAR","IMO0000000","","37","","19","6","","","B"
"366948310","2024-09-20T00:06:36","38.63605","-75.61532","0.0","251.4","301.0","FORT PIKE","","WAA9418","31","0","19","7","2.5","52","A"
"367176210","2024-09-20T00:04:08","38.63250","-75.61827","0.0","231.9","202.0","GRAM ME","","WDD6682","52","0","20","8","3.0","52","A"
"368260710","2024-09-20T00:05:37","38.39235","-75.84056","7.3","139.7","143.0","THOR","IMO8842246","WDN2293","52","15","158","12","3.0","31","A"
"366948310","2024-09-20T00:08:17","38.63605","-75.61534","0.0","255.2","302.0","FORT PIKE","","WAA9418","31","0","19","7","2.5","52","A"
"368260710","2024-09-20T00:07:07","38.38966","-75.83901","7.0","175.9","186.0","THOR","IMO8842246","WDN2293","52","15","158","12","3.0","31","A"
"368260710","2024-09-20T00:08:14","38.38755","-75.83957","7.2","204.9","212.0","THOR","IMO8842246","WDN2293","52","15","158","12","3.0","31","A"
"367176210","2024-09-20T00:10:37","38.63250","-75.61810","0.0","229.1","203.0","GRAM ME","","WDD6682","52","0","20","8","3.0","52","A"
"338327527","2024-09-20T00:08:16","38.61215","-75.95913","0.0","41.0","511.0","SAND DOLLAR","IMO0000000","","37","","19","6","","","B"
"366948310","2024-09-20T00:09:27","38.63605","-75.61535","0.0","259.6","302.0","FORT PIKE","","WAA9418","31","0","19","7","2.5","52","A"
"366948310","2024-09-20T00:12:37","38.63605","-75.61534","0.0","249.8","303.0","FORT PIKE","","WAA9418","31","0","19","7","2.5","52","A"
"368260710","2024-09-20T00:10:04","38.38485","-75.84274","7.3","244.3","259.0","THOR","IMO8842246","WDN2293","52","15","158","12","3.0","31","A"
"366948310","2024-09-20T00:11:27","38.63605","-75.61535","0.0","262.9","303.0","FORT PIKE","","WAA9418","31","0","19","7","2.5","52","A"
