"","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TransceiverClass"
"1",368260710,2023-09-16 00:00:46,38.63655,-75.61485,0,288,33,"THOR",NA,"WDN2293",99,0,24,9,0,99,"A"
"2",368260710,2023-09-16 00:04:27,38.63654,-75.61486,0,288,33,"THOR",NA,"WDN2293",99,0,24,9,0,99,"A"
"3",368260710,2023-09-16 00:05:37,38.63655,-75.61483,0,288,33,"THOR",NA,"WDN2293",99,0,24,9,0,99,"A"
"4",368260710,2023-09-16 00:06:56,38.63654,-75.61485,0,288,33,"THOR",NA,"WDN2293",99,0,24,9,3,57,"A"
"5",368260710,2023-09-16 00:09:47,38.63653,-75.61485,0,288,34,"THOR",NA,"WDN2293",99,0,24,9,3,57,"A"
"6",368193830,2023-09-16 00:10:01,38.35417,-75.61942,0,58,37,"ROCK HALL","IMO1294623","WDM3063",52,5,30,12,2.7,52,"A"
"7",368110190,2023-09-16 00:08:02,38.36178,-75.61317,0,41,48,"SALISBURY",NA,"WDL2234",52,5,30,12,0,52,"A"
"8",368260710,2023-09-16 00:10:56,38.63651,-75.61482,0,288,34,"THOR",NA,"WDN2293",99,0,24,9,3,57,"A"
"9",368260710,2023-09-16 00:08:37,38.63654,-75.61485,0,288,34,"THOR",NA,"WDN2293",99,0,24,9,3,57,"A"
"10",368110190,2023-09-16 00:10:59,38.36178,-75.61317,0,41,48,"SALISBURY",NA,"WDL2234",52,5,30,12,0,52,"A"
"11",368110190,2023-09-16 00:04:59,38.36178,-75.61317,0,41,48,"SALISBURY",NA,"WDL2234",52,5,30,12,0,52,"A"
"12",368260710,2023-09-16 00:12:17,38.63654,-75.61484,0,288,34,"THOR",NA,"WDN2293",99,0,24,9,3,57,"A"
"13",368110190,2023-09-16 00:14:03,38.36178,-75.61317,0,41,48,"SALISBURY",NA,"WDL2234",52,5,30,12,0,52,"A"
"14",368260710,2023-09-16 00:15:26,38.63653,-75.61484,0,288,33,"THOR",NA,"WDN2293",99,0,24,9,3,57,"A"
"15",368260710,2023-09-16 00:16:37,38.63651,-75.61484,0,288,32,"THOR",NA,"WDN2293",99,0,24,9,3,57,"A"
"16",368193830,2023-09-16 00:07:05,38.35417,-75.61943,0,58,38,"ROCK HALL","IMO1294623","WDM3063",52,5,30,12,2.7,52,"A"
"17",368110190,2023-09-16 00:17:00,38.36178,-75.61317,0,41,48,"SALISBURY",NA,"WDL2234",52,5,30,12,0,52,"A"
"18",368260710,2023-09-16 00:17:46,38.63652,-75.61483,0,288,32,"THOR",NA,"WDN2293",99,0,24,9,3,57,"A"
"19",368193830,2023-09-16 00:19:06,38.35417,-75.61943,0,58,37,"ROCK HALL","IMO1294623","WDM3063",52,5,30,12,2.7,52,"A"
"20",368260710,2023-09-16 00:19:26,38.63652,-75.61482,0,288,33,"THOR",NA,"WDN2293",99,0,24,9,3,57,"A"
"21",368260710,2023-09-16 00:20:57,38.63653,-75.6148,0,288,33,"THOR",NA,"WDN2293",99,0,24,9,3,57,"A"
"22",368110190,2023-09-16 00:19:54,38.36178,-75.61317,0,41,48,"SALISBURY",NA,"WDL2234",52,5,30,12,0,52,"A"
"23",368110190,2023-09-16 00:23:01,38.36178,-75.61317,0,41,48,"SALISBURY",NA,"WDL2234",52,5,30,12,0,52,"A"
"24",368193830,2023-09-16 00:25:04,38.35417,-75.61942,0,58,37,"ROCK HALL","IMO1294623","WDM3063",52,5,30,12,2.7,52,"A"
