lf,fecund
244.1403196,2.207095861
231.1545244,2.583495829
220.9949765,2.415811292
230.0082699,2.041769033
233.060214,2.012909624
236.2121479,1.970778718
228.9873469,1.665885283
223.4646891,1.871739926
218.2981905,1.714927881
210.7759853,1.827981525
208.2515223,1.985077021
213.3453749,1.26842737
209.9793826,1.237593193
208.2478932,0.879426049
200.6159369,0.576758922
205.6975254,1.213426677
205.7131684,1.323991211
205.6716206,1.390331808
204.4970211,1.368262076
200.674817,1.352923828
197.9100779,1.611748081
193.9350733,1.596415465
198.0399772,1.089875972
193.9593512,1.048011622
192.970027,0.895468231
192.999999,0.747309878
192.9615172,0.475321124
185.3449536,0.641449499
185.0003076,0.725491685
184.1360647,1.097022308
180.2647417,0.734511423
182.9110322,0.358492518
177.788021,0.509049877
177.7864567,0.497993424
182.8510883,0.654809224
182.8920103,0.584046045
182.8301267,0.506652748
182.8851274,0.53539765
